Path,Name,ExactName,Features,Options,Occupied,Virtual,HomoOrbital,Dipole,Energy,Excited,Time
,66i_CON_A_66i,6aa6iiA_CON_A_6aa6iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0109946943,-2.2035778649,137,1.9994,-1712.864237,---,12.25
,A_CON_6_A_m2,A_CON_6aa_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6577909319,-2.4370515384,161,4.8836,-2121.5778891,---,7.3833333333
,7_TON_4_7,7aaA_TON_4aaA_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2811853793,-2.0781333853,167,0.0011,-2029.7926927,---,7.25
,A_CNP_A_A,A_CNP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0384598352,-1.1072312092,49,5.95,-1100.6720728,---,0.65
,A_CPC_4f_A,A_CPC_4ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3745204259,-1.099067794,105,1.923,-1831.5138354,---,58.8166666667
,4hi_CPC_C_4hi,4hiA_CPC_C_4hiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2332933437,-1.7268344197,138,2.9319,-6862.2244696,---,28
,A_TSN_555c_A,A_TSN_5aa5aa5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1951974063,-2.3627644604,240,0.0018,-14808.4266655,---,69.5666666667
,66e_TON_A_66e,6aa6eeA_TON_A_6aa6eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0232398171,-2.4424938151,145,0.0028,-1860.1541534,---,40.3833333333
,A_TSP_5555c_A,A_TSP_5aa5aa5aa5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2645864351,-2.200040385,290,0.0022,-16485.2336854,---,64.05
,A_TSP_555b_A,A_TSP_5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5228224679,-2.161128106,212,0.002,-6935.5645674,---,51.7
,444g_CON_A_444g,4aa4aa4ggA_CON_A_4aa4aa4ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6063614164,-1.9213958143,193,2.1663,-3546.2952144,---,40.2166666667
,A_TON_4d_A,A_TON_4ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.9250250782,-2.7502545666,105,0.0007,-1398.2651556,---,56.9333333333
,C_CPC_4fc_C,C_CPC_4fcA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9644632279,-1.6326830315,162,2.9875,-11965.5027262,---,26.7833333333
,A_TON_444_A,A_TON_4aa4aa4aaA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2234972455,-2.0941881018,161,0.0028,-1953.5282021,---,7.7166666667
,C_CPC_4ci_C,C_CPC_4ciA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9494969668,-1.6296897793,162,5.8708,-11893.7099625,---,57.8333333333
,7_TON_7_7,7aaA_TON_7aaA_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0409088598,-2.1050726553,213,0.0011,-2568.1424216,---,11.35
,99_TON_A_99,99A_TON_A_99A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8256668135,-1.7200315737,185,0.0007,-3685.8129035,---,48.4833333333
,4_TON_7_4,4aaA_TON_7aaA_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.102950815,-2.0890179388,167,0.0022,-2029.791697,---,7.8166666667
,4e_CPC_A_4e,4eeA_CPC_A_4eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6738456483,-1.8337751582,113,2.0992,-1835.2418524,---,22.55
,6666_TON_A_6666,6aa6aa6aa6aaA_TON_A_6aa6aa6aa6aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8490869604,-2.6395042343,201,0.0028,-2543.9803732,---,6.9166666667
,5555g_TSP_A_5555g,5aa5aa5aa5ggA_TSP_A_5aa5aa5aa5ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8585925879,-2.6678040735,257,0.0017,-7793.5710314,---,12.3666666667
,C_CPC_4eb_C,C_CPC_4ebA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9065029803,-2.0745959054,148,7.3221,-7744.3249469,---,65.25
,444i_TON_A_444i,4aa4aa4iiA_TON_A_4aa4aa4iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4866313274,-1.9284707741,177,0.0197,-2110.8275333,---,36.6666666667
,D_TON_F_D,D_TON_F_D_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.4708670816,-2.9475370996,61,0.0008,-902.077245,---,0.8333333333
,A_TON_5555i_A,A_TON_5aa5aa5aa5iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7331481084,-2.286028358,225,0.0115,-5138.9822429,---,47.75
,A_TON_666d_A,A_TON_6aa6aa6ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2205223501,-3.0640018225,185,0.0067,-2418.7069583,---,9.9333333333
,A_TOP_555h_A,A_TOP_5aa5aa5hhA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7255289209,-2.0607180996,191,5.1823,-4672.6585385,---,35.3333333333
,TSP_n3,_TSP_A__n3_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.61370849,-3.1842761391,169,0.0017,-5356.6191996,---,8.7166666667
,6_TON_4_6,6aaA_TON_4aaA_6aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6158854007,-2.341539581,121,0.0009,-1523.5107663,---,5.2666666667
,A_TSP_555g_A,A_TSP_5aa5aa5ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3375129438,-2.0103770395,215,0.0022,-6689.938725,---,70.4666666667
,A_TOP_666i_A,A_TOP_6aa6aa6iiA_A_n1_m1_x1_y1_z1,,---,-5.2060819598,-3.1099890612,185,0.0887,---,---,4.3833333333
,A_CPC_5c_A,A_CPC_5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0757577879,-1.599757257,156,1.7613,-12456.5749434,---,77.8833333333
,4ab_CPC_C_4ab,4abA_CPC_C_4abA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.068954942,-2.1488829833,136,1.8884,-7592.0762412,---,28.5333333333
,66i_TSP_A_66i,6aa6iiA_TSP_A_6aa6iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7051387398,-2.5684825224,153,0.0882,-2931.983819,---,20.2166666667
,A_CPC_5f_A,A_CPC_5ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4275826244,-1.0579786044,107,1.5141,-2473.0167837,---,49.5833333333
,A_CPC_4c_A,A_CPC_4ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.02840998,-1.5118644872,154,4.1447,-11815.0722375,---,43.1833333333
,A_CON_44c_A,A_CON_4aa4ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7739835409,-1.9684715083,186,2.2892,-11775.8346933,---,35.6333333333
,333_TON_A_333,333A_TON_A_333A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0931730736,-2.867535631,77,0.0009,-1024.112789,---,15.5833333333
,4eg_CPC_C_4eg,4egA_CPC_C_4egA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8104467953,-2.0354115126,150,1.6783,-7621.5369511,---,29.2833333333
,A_COP_666g_A,A_COP_6aa6aa6ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6784715836,-2.4585485316,201,0.977,-4215.6830045,---,65.4833333333
,4bi_CPC_C_4bi,4biA_CPC_C_4biA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9228298106,-1.9135045129,144,2.0207,-7670.7014717,---,26.6333333333
,5A_TON_5A_5A,5aaA_TON_5aaA_5aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1380535002,-2.1809924163,125,0.0039,-2774.4690164,---,4.25
,B_TON_D_B,B_TON_D_B_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-7.5100698311,-3.3113533017,68,0.0005,-1670.8443645,---,1.4166666667
,A_CSP_A_2,A_CSP_A_2A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6131642623,-2.1407195682,64,2.5331,-1863.7324995,---,5.6
,6_TON_9_6,6aaA_TON_9A_6aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1674417947,-2.107249566,153,0.0007,-2620.699574,---,57.5833333333
,A_TON_4c_A,A_TON_4ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.3810695148,-1.8068358882,146,0.0119,-11313.7164995,---,47.4
,A_TON_777_A,A_TON_7aa7aa7aaA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0917941476,-1.8362241828,299,0.0017,-3568.5885704,---,88.2833333333
,5D_TON_5A_5D,5aaD_TON_5aaA_5aaD_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5960210905,-3.0052252333,137,0.0019,-2958.9491932,---,5.4666666667
,C_CPC_4cg_C,C_CPC_4cgA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1051460825,-1.7959513347,170,5.8841,-12611.4420163,---,68.2333333333
,4g_TON_A_4g,4ggA_TON_A_4ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6365660525,-2.0419422447,113,0.002,-2622.0615326,---,10.7833333333
,F_TON_H_F,F_TON_H_F_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.7179097334,0.0065307321,57,1.3958,-828.3507279,---,1.4666666667
,3_TON_6_3,3A_TON_6aaA_3A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9788852614,-2.5769180514,93,0.001,-1213.6654891,---,21.1
,A_CPP_A_A,A_CPP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1173912052,-2.1600396507,57,5.7191,-1673.8247748,---,2.25
,A_TON_44d_A,A_TON_4aa4ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.097526895,-2.5853535804,145,0.0021,-1860.3855339,---,27.2166666667
,2_TON_9_2,2A_TON_9A_2A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.6414457447,-1.8528231269,127,0.0029,-2281.2687876,---,16.1
,C_CPC_4dd_C,C_CPC_4ddA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.3764435796,-2.87597116,146,7.4202,-7041.7553439,---,49.1166666667
,4ce_CPC_C_4ce,4ceA_CPC_C_4ceA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0439204688,-2.0852083451,166,2.1772,-11967.3730124,---,23.45
,66e_CSP_A_66e,6aa6eeA_CSP_A_6aa6eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8262293979,-2.5771901652,161,1.8245,-3079.2729006,---,44.8
,4ca_CPC_C_4ca,4caA_CPC_C_4caA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9582046097,-1.9796281757,154,2.2406,-11815.0854604,---,17.7666666667
,2_TON_7_2,2A_TON_7aaA_2A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.113019027,-2.1619444476,141,0.0025,-1722.4710921,---,9.5333333333
,6c_CCC_A_6c,6ccA_CCC_A_6ccA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7796979315,-1.8933680889,146,0.7099,-11241.8816131,---,17.25
,A_CON_444d_A,A_CON_4aa4aa4ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7552076861,-2.5214068283,185,2.4672,-2322.5009997,---,57.2
,4ii_CPC_C_4ii,4iiA_CPC_C_4iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7663643535,-1.7720053169,138,1.5618,-6830.1470805,---,30.2666666667
,5555h_CON_A_5555h,5aa5aa5aa5hhA_CON_A_5aa5aa5aa5hhA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8093399832,-2.1540531462,225,5.5321,-5203.129579,---,59.4833333333
,A_TON_4e_A,A_TON_4eeA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.2779016564,-2.5665777255,105,0.0054,-1333.7513574,---,17.6166666667
,444d_CSP_A_444d,4aa4aa4ddA_CSP_A_4aa4aa4ddA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6335728002,-2.5605912211,201,1.9768,-3541.6406223,---,119.833333333
,7c_CPC_A_7c,7ccA_CPC_A_7ccA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5731635281,-2.0269759836,200,2.4443,-12353.4286135,---,18.3833333333
,A_CSP_A_7,A_CSP_A_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3981943299,-2.1701078627,100,2.5694,-2286.5659264,---,8.75
,TSP_3_n2,_TSP_A_3_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5973816597,-3.0337971864,125,3.3112,-3723.7810991,---,25.05
,A_COP_666i_A,A_COP_6aa6aa6iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8539850095,-2.2335103871,185,0.5805,-2780.2122223,---,40.8
,A_TSN_666g_A,A_TSN_6aa6aa6ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6694918269,-2.417459342,201,0.0046,-4288.4563515,---,50.7166666667
,4ah_CPC_C_4ah,4ahA_CPC_C_4ahA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4757467738,-1.754862145,130,3.317,-6783.5925989,---,28.1333333333
,A_COP_555b_A,A_COP_5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2221366763,-2.4163708866,204,0.9309,-6289.6138436,---,78.4833333333
,4ed_CPC_C_4ed,4edA_CPC_C_4edA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2599788567,-2.437595766,146,1.6775,-7009.6487228,---,24.2666666667
,444i_TSP_A_444i,4aa4aa4iiA_TSP_A_4aa4aa4iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3538397742,-2.245483396,193,0.0224,-3329.9446751,---,39.95
,A_TON_5555d_A,A_TON_5aa5aa5aa5ddA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2000954554,-3.0139328762,233,0.0013,-5350.6708435,---,12.3333333333
,TSP_m2,A_TSP__A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7494932955,-2.0082001288,113,0.0007,-3571.4686825,---,24.0166666667
,A_TSP_5555g_A,A_TSP_5aa5aa5aa5ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.17206773,-2.0207173653,257,0.0023,-7793.5678151,---,59.2333333333
,A_TSN_666c_A,A_TSN_6aa6aa6ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.0779346986,-2.3374578734,234,0.0046,-12980.1171112,---,89.1166666667
,F_TON_B_F,F_TON_B_F_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1867802341,-1.1559395863,64,0.0009,-1636.8264249,---,0.8333333333
,C_CPC_4gg_C,C_CPC_4ggA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7949363065,-1.733093038,154,2.6658,-8265.6019194,---,61.4833333333
,A_TSP_2_A_m2,A_TSP_2_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2874439975,-2.3420838087,141,0.0053,-3881.0653981,---,16.8666666667
,A_TNN_A_A,A_TNN_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5258157201,-0.6291271948,41,0.0008,-527.4819791,---,0.3833333333
,B_TON_H_B,B_TON_H_B_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1492101675,-1.0481825062,64,1.3868,-1597.082994,---,1.5666666667
,H_TON_H_H,H_TON_H_H_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.3731414999,0.3175568496,57,3.0587,-788.6272875,---,1.8
,4ga_CPC_C_4ga,4gaA_CPC_C_4gaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7837796391,-1.8427549149,138,2.2268,-7469.2449236,---,50.9166666667
,A_TSN_666f_A,A_TSN_6aa6aa6ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5162917358,-2.3970508041,185,0.0049,-2996.6112064,---,47.6
,A_CON_3_A_m2,A_CON_3_A_n1_m2_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7018733737,-2.6343340713,105,5.2043,-1437.7940097,---,35.8166666667
,444ad_TON_A_4444ad,4aa4aa4adA_TON_A_4aa4aa4aa4adA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5720750727,-2.3222194985,193,0.3765,-2369.0936063,---,6.7333333333
,A_CSP_A_4,A_CSP_A_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5666327959,-2.1483387556,77,2.494,-2017.390513,---,2.9
,66b_CSP_A_66b,6aa6bbA_CSP_A_6aa6bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9533065606,-2.6985529373,166,1.8873,-4613.0787534,---,66.1
,A_TON_44ha_A,A_TON_4aa4haA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.222680904,-1.7562227142,129,0.5312,-1602.1300814,---,22.8166666667
,TON_4_n2,_TON_A_4aa_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.733438579,-2.306164782,121,1.7175,-1595.3484851,---,3.5833333333
,A_TON_222_A,A_TON_222A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0177791835,-2.2952802285,83,0.0067,-1031.6299468,---,9
,A_CSP_555g_A,A_CSP_5aa5aa5ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3124784707,-1.9562263856,215,0.7961,-6689.939194,---,49.3333333333
,A_CPC_7c_A,A_CPC_7ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7307174406,-1.8920075197,200,2.233,-12353.4142285,---,47.4666666667
,66i_TON_A_66i,6aa6iiA_TON_A_6aa6iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9108568017,-2.3050763267,137,0.0889,-1712.8650405,---,10.4
,CON_m3,A_CON__A_n1_m3_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9348028195,-1.8794902831,121,6.6623,-1699.1964169,---,20.2
,8_CSP_A_A,8A_CSP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9748035538,-3.0112117378,77,3.0312,-2081.4689911,---,3.35
,6e_CCC_A_6e,6eeA_CCC_A_6eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4920736042,-1.8887421536,105,0.5529,-1262.0393293,---,20.65
,5555d_TSP_A_5555d,5aa5aa5aa5ddA_TSP_A_5aa5aa5aa5ddA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3092131046,-3.1336629651,249,0.0012,-6569.805311,---,13.0833333333
,A_CON_444c_A,A_CON_4aa4aa4ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5693539343,-1.9317361401,226,2.3324,-12237.9503875,---,44.1
,G_TON_H_G,G_TON_H_G_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8645790924,-0.6503520742,65,1.3666,-1474.2762022,---,1.8166666667
,4e_TON_A_4e,4eeA_TON_A_4eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.794119965,-2.1905164006,105,0.0015,-1333.8964774,---,5.5833333333
,C_CPC_4bd_C,C_CPC_4bdA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.4082808987,-2.1826250993,148,3.941,-7776.5320125,---,42.35
,A_TON_8888_A,A_TON_8888A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.6599861994,-4.222934661,201,0.0011,-2928.1796019,---,6.9833333333
,A_TON_A_7,A_TON_A_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6822811773,-1.7823456427,84,2.1189,-1067.4400967,---,3.2333333333
,44g_CSP_A_44g,4aa4ggA_CSP_A_4aa4ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5309858831,-2.2335103871,169,1.9455,-4303.2970296,---,26.6166666667
,A_TSP_555f_A,A_TSP_5aa5aa5ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9132874695,-1.8454760533,199,0.0023,-5398.0528083,---,31.6
,9_TON_7_9,9A_TON_7aaA_9A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8664838893,-1.8680615019,199,0.0009,-3126.9420846,---,11.0666666667
,6f_CCC_A_6f,6ffA_CCC_A_6ffA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5141148251,-1.5747227839,97,1.0392,-1258.3398488,---,46.7833333333
,3_CSP_A_A,3A_CSP_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.7647316704,-2.2705178692,63,2.5367,-1862.478635,---,2.4666666667
,4444ad_TON_A_44444ad,4aa4aa4aa4adA_TON_A_4aa4aa4aa4aa4adA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.468671814,-2.2833072196,233,0.2683,-2831.2041582,---,11.5833333333
,TON_9_n2,_TON_A_9_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1516591921,-2.1301071284,153,5.7302,-2692.4961254,---,6.3833333333
,A_CSP_555i_A,A_CSP_5aa5aa5iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1541082166,-1.8688778434,199,0.7388,-5254.4735872,---,31.1833333333
,A_CSP_44g_A,A_CSP_4aa4ggA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5263599478,-1.7594880803,169,0.519,-4303.2861287,---,43.8333333333
,9_TON_A_9,9A_TON_A_9A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0452626812,-1.5456066032,113,0.0005,-2126.4814335,---,9.35
,4ci_CPC_C_4ci,4ciA_CPC_C_4ciA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8912646054,-1.9317361401,162,2.2054,-11893.7222251,---,25.5166666667
,5555e_TON_A_5555e,5aa5aa5aa5eeA_TON_A_5aa5aa5aa5eeA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9802274738,-2.5412711385,233,0.0022,-5286.2987281,---,18.8
,4hc_CPC_C_4hc,4hcA_CPC_C_4hcA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5454079165,-2.0204452515,162,2.8775,-11925.797837,---,26.4333333333
,D_TON_B_D,D_TON_B_D_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-7.38380901,-3.4381583505,68,0.0009,-1670.833076,---,1.25
,66g_TSP_A_66g,6aa6ggA_TSP_A_6aa6ggA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.6616005256,-3.0302597065,169,0.0026,-4367.4469618,---,14.75
,3_TON_A_A,3A_TON_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.3524975618,-1.8394895488,47,0.1453,-643.338788,---,1.1833333333
,4dc_CPC_C_4dc,4dcA_CPC_C_4dcA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.3244698364,-2.4822224356,166,1.4709,-11999.5689207,---,18.1666666667
,A_TON_A_4,A_TON_A_4aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.999838027,-1.6873779131,61,1.2568,-798.2647132,---,1.4166666667
,C_CPC_4bi_C,C_CPC_4biA_C_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.967728594,-1.6506425449,144,3.7771,-7670.6881794,---,56.2333333333
,5555b_CSP_A_5555b,5aa5aa5aa5bbA_CSP_A_5aa5aa5aa5bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0855355293,-2.7358325331,254,1.7527,-8039.204119,---,12.6833333333
,5555b_CON_A_5555b,5aa5aa5aa5bbA_CON_A_5aa5aa5aa5bbA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.1369650448,-2.5712036608,238,1.8995,-6820.081229,---,9.85
,A_TON_44b_A,A_TON_4aa4bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8079977708,-2.0030299658,150,0.0023,-3329.7973429,---,30.3666666667
,5555i_CSP_A_5555i,5aa5aa5aa5iiA_CSP_A_5aa5aa5aa5iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9796832461,-2.4531062548,241,1.7568,-6358.1168106,---,59.7833333333
,5555i_TSP_A_5555i,5aa5aa5aa5iiA_TSP_A_5aa5aa5aa5iiA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.8907020209,-2.5499787814,241,0.0115,-6358.1178966,---,38.5833333333
