Path,Name,ExactName,Features,Options,Occupied,Virtual,HomoOrbital,Dipole,Energy,Excited,Time
,666_TON_A_666,6aa6aa6aaA_TON_A_6aa6aa6aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8757541166,-2.5728363438,161,0.0022,-2049.7873396,---,4.15
,A_CCC_5c_A,A_CCC_5ccA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.8085419984,-1.3885969183,148,2.3722,-11851.3051017,---,59.1166666667
,A_CCC_A_A,A_CCC_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.4014596959,-0.5341594651,41,1.0824,-463.2768507,---,0.4833333333
,CON_3_n2,_CON_A_3_n2_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.2311347898,-2.606306346,93,4.5935,-1285.492802,---,13.6166666667
,B_TON_F_B,B_TON_F_B_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.9141221678,-1.3651951282,64,0.0007,-1636.793332,---,0.9
,A_TSP_5555i_A,A_TSP_5aa5aa5aa5iiA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.0409088598,-1.9703763052,241,0.0116,-6358.1015364,---,50.4
,A_CON_5555b_A,A_CON_5aa5aa5aa5bbA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.853422425,-2.5899795157,238,1.7562,-6820.0696478,---,11.4333333333
,9_TON_A_A,9A_TON_A_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.5059514099,-1.5423412371,77,3.6915,-1346.8392248,---,2.5333333333
,A_CSP_44c_A,A_CSP_4aa4ccA_A_n1_m1_x1_y1_z1,,---,-5.6346612556,-1.8041147498,202,0.6426,---,---,249.8
,33_TON_A_33,33A_TON_A_33A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-6.1614736471,-2.5720200023,65,0.0008,-871.794775,---,6.7166666667
,A_TON_4f_A,A_TON_4ffA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.3013218033,-1.294717644,97,0.002,-1330.1600314,---,39.3333333333
,A_TON_4ha_A,A_TON_4haA_A_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-5.2218645624,-1.5251980653,89,0.117,-1140.0170052,---,18.7333333333
,7_TON_9_7,7aaA_TON_9A_7aaA_n1_m1_x1_y1_z1,,opt B3LYP/6-31g(d) geom=connectivity,-4.9432199917,-1.8868373568,199,0.0011,-3126.9806224,---,83.3833333333
,66d_CSP_A_66d,6aa6ddA_CSP_A_6aa6ddA_n1_m1_x1_y1_z1,,---,-6.1720860868,-3.2103990676,161,1.7722,---,---,182.766666667
